Datetime,Tweet Id,Text,Username,Like Count,Retweet Count,Reply Count
2022-02-18 23:50:03+00:00,1494821546082320389,"@AtypicalAlexia @JustinTrudeau @sanchezcastejon They are a fringe minority, holding unacceptable views. They are the reason why the cases are at all an time high. We must all take our booster shots and obey!!!",HealthierMe7,0,0,0
2022-02-18 23:49:27+00:00,1494821394194046990,"@sdnorman @bretmcf @Shteyngart More people want to buy Tesla vehicles now that we've seen Elon will stand up against authoritarians. Canada is 90%+ vaccinated, and we know natural immunity is just as good. Funny to see Trudeau get covid with 2 vaxxes and a booster shot 😂 he could've spread it to his family",BitcoinCadet,0,0,0
2022-02-18 23:49:18+00:00,1494821357531680768,Woo Hoo! My 17 year old daughter's COVID-19 booster shot today makes all four of us triple vaxxed!💉💉💉💉 #COVID19 #TripleVaxxed https://t.co/bCHELLTMaW,LorettaRyan,6,1,1
2022-02-18 23:48:46+00:00,1494821220440842247,"Also, it's important to get boosted if you have not gotten your booster and of course, to get vaccinated, if you have not been vaccinated yet. You may find a booster shot or vaccine near you at https://t.co/KNuCk9DsZf",JudgeClayJ,14,3,8
2022-02-18 23:48:40+00:00,1494821195497480193,"What are they studying??
'The agency is studying whether to file a criminal complaint against the Japanese coworkers and to take any action against the intermediate body, also based in Okayama.'
 'https://t.co/ARgrujaSxt?",Bunny_Godfather,4,1,0
2022-02-18 23:48:32+00:00,1494821162387447810,#trumpisguilty https://t.co/NXE8EfNuuz,JudithW4,0,0,0
2022-02-18 23:48:31+00:00,1494821158029455361,"@IyahBa My Dr scheduled my next COVID shot for next week.
They call it shot number 3 but it's actually number 4 if you count the booster. 
I'm immunocompromised.",MKKidWrangler,1,0,1
2022-02-18 23:48:00+00:00,1494821029276880896,taking my booster shot today :'D,soshiohu2shi,0,0,2
2022-02-18 23:47:45+00:00,1494820966354104323,"@doofusdan @ThrowawayGaming @NPR Umm Binary Boy, I know binary thinkers like to intentionally ignore the grey areas of life so they feel a sense of certainty.  News Flash: Science is never binary. 

We know the flu and a synthetic virus creation are not the same. A shot + 4 booster later, you still get Covid",ThinkingMMan,0,0,1
2022-02-18 23:47:41+00:00,1494820948142346242,#trumpisguilty https://t.co/fshSC1YjCF,JudithW4,1,1,0
2022-02-18 23:47:24+00:00,1494820879334838273,"@jt22145225 @theafriyie_ Covid is evolving all the time
Current vaccines were formulated for original Covid from Jan/Feb 2020
Then Delta &amp; now Omicron show that's why 2 shots+booster needed.
Tomorrow could be another new variant
Vaccines need to evolve too
WHO suggests proper N95 for Omicron, not fabric",Crank_n_Pedal,1,0,1
2022-02-18 23:47:18+00:00,1494820851707002885,"@socdarling Listen, it’s pretty simple. It’s politicians that are now pushing vaccines in Canada. There were also politicians contributing to the perpetration of the Bosnian genocide. Do you think this is just a coincidence? It rained the day after I got my 3rd shot wake up Brittany",Ixirar,1,0,0
2022-02-18 23:47:12+00:00,1494820828092854277,"@nitaabb99430819 @TracyBethHoeg @CBSNews Here’s post delta, pre booster shot. The booster dealt with waning protection over time. Also, viral load isn’t the only way it lowers transmission. Vaxed are less likely to get infected, and if you’re not infected you don’t transmit https://t.co/tW2UnJloBa",lessifer,0,0,5
2022-02-18 23:47:12+00:00,1494820827837214722,"The Center for Disease Control says that it's too early to recommend a fourth COVID-19 booster shot. Officials say that three initial vaccine shots are a great defense against the virus but the strongest dose begins to disappear after four months. #CO3313
https://t.co/eFgDEvFPFn",acsivik1,0,0,0
2022-02-18 23:46:12+00:00,1494820575298076672,"These Vaccines Have Been Embraced by the World. Why Not in PRC? — Beijing once said it had two mRNA shots within reach and ready for approval — one homemade and one produced by a foreign company. Today, neither is available. via /r/ChunghwaMinkuo … https://t.co/iOxUz9KZZd",CMinkuo,0,0,0
2022-02-18 23:46:01+00:00,1494820529085325322,"@Raymond49503088 Instantly drop that 542 buddy, just move on from the fact that cops are 6 times more likely to die from refusing to get vaccinated than from getting shot. Maybe you should campaign against all those brave warriors refusing to get vaccinated.",regaussing,2,0,1
2022-02-18 23:45:49+00:00,1494820480020320257,"@gwestcot23 @CoryEF79 @SenatorHousakos @LilBardi__ Right. They had a choice.
Get a shot &amp; keep your job.
Or another choice was/is,
Not get vaccinated &amp; lose your job.
Not hard. Is it?
Choices.
As you know, vaccine saved not everyone. But it’s keeping our ICU numbers down for the mandates to loosen up.",james_seo03,0,0,1
