Datetime,Tweet Id,Text,Username,Like Count,Retweet Count,Reply Count
2022-02-18 23:56:00+00:00,1494823041452457996,one of my least favorite habits i have is letting my face mask on my face for way too long because i‘m too lazy to wash it off 😄🤝,yukibanart,2,0,1
2022-02-18 23:55:54+00:00,1494823019411394562,"really taking advantage of the face mask at work, whenever someone misgenders me i just repeatedly mutter “fuck you fuck you fuck you” under my breath until they leave",MrsSexExplorer,11,0,1
2022-02-18 23:55:25+00:00,1494822895222149124,@ctmama2 @CTGOP @bobforgovernor Maybe they should direct their anger to the mask mandate in their cities.  Seems like the Democrats don’t want you to make your own choice.,janthony123456,1,0,0
2022-02-18 23:55:16+00:00,1494822857947459590,I’m gonna keep wearing my face mask at work because I do not want these people to know what my whole face looks like.,MyrandaKatlyn17,1,0,0
2022-02-18 23:55:13+00:00,1494822847600025603,Do we still have an indoor mask MANDATE? https://t.co/LxvVQc6g4V,J_Edward65,2,2,0
2022-02-18 23:55:01+00:00,1494822795695595520,"#Faceshields like cheap #facemasks  don't protect you from a virus. If you can smell something through a #mask , it can't protect you from a #virus . Face shields only protect you from spattering. #COVID #COVIDisAirborne",Get_AaronRKing,1,0,0
2022-02-18 23:54:58+00:00,1494822784626827264,"It’s a long weekend! Take some time for yourself with a foot mask to get your feet baby soft. Combined with a face mask, you’ll be feeling brand new!

#donquijotehawaii #donki https://t.co/Dq0MaEs3MJ",DonQuijoteHI,0,0,0
2022-02-18 23:54:34+00:00,1494822682558447622,@JustinTrudeau Justin Trudeau and this is only once only please and let them go and Thier patriots and peaceful protest against faical mask mandate's and it's Canadian freedom convoy rally and my own 1988 Olympic Team what I Led and we're haveing our own rally,belding123,4,2,2
2022-02-18 23:54:31+00:00,1494822671137361923,"@Joanne__W Man so messed up!! Crazy times!! Hopefully things change for the better soon, it's not too bad in Mass.. Mandates seem to becoming lifted soon, mask.. And the vax mandate in Boston.. There's 1 bonus for me, perm wfh 🙂 i never have to see ppl again lol",SweetieBird28,0,0,0
2022-02-18 23:54:31+00:00,1494822668150788097,"@bouldercohealth Just in time for stealth omicron to enter the scene. It’s  1.5x more contagious than omicron, making it the most contagious virus known to man. It’s more virulent and has better immune escape. Keep those masks on! BCPH is wrong to drop the mandate, follow CDC guidance &amp; mask up.",LeoParamita,0,0,3
2022-02-18 23:54:00+00:00,1494822538941124611,Pueblo of Laguna mask mandate is still in place. https://t.co/m44Wi4SceJ,FaknilO,2,0,0
2022-02-18 23:53:59+00:00,1494822534310621187,"Such a pretty face, what was it underneath the mask for?",saturniidsaying,0,0,0
2022-02-18 23:53:42+00:00,1494822463217143809,What's with this mask?! It's glued to her face and it won't come off. Ms. Saeko- Ms. Saeko!,persona1bot,0,0,0
2022-02-18 23:53:34+00:00,1494822431957073920,"@charliespiering @benshapiro Jen Psaki can KMA, I haven't had a mask in my face since June of last year, and that is not going to change",AnneMRad,0,0,0
