Datetime,Location,Text,Like Count
2020-03-12 03:34:09+00:00,"Birmingham, Alabama",Anybody checked the bodies of the people that have died from Covid-19? 😳 ijs... #ZombieApocalypse #CoronavirusPandemic #pandemic #CoronaVirusUpdate #BREAKING #Pandumbic,0
2020-03-12 02:39:34+00:00,"Birmingham, Alabama",Can’t Europeans just...fly to the UK first? #Covid_19,0
2020-03-12 02:31:30+00:00,"Birmingham, AL","Trump: how do we control COVID-19?
Staff: ban travel from Asia, the epicenter of the outbreak?
Trump: No
Staff: improve testing availability &amp; quarantine?
Trump: No
Staff: Improve funding for healthcare systems to prep?
Trump: No
Staff: Ban European travel?
Trump: Yes! Genius! 🙄",0
2020-03-12 01:33:47+00:00,"Birmingham, AL",We hope @tomhanks is getting all the ice cream he wants right now.  #CoVid19 #coronavirus #tomhanks https://t.co/H6rBMzciP8,1
2020-03-13 23:54:59+00:00,"Birmingham, AL","Second, we want to heed the advice of public health experts who have advised that “social distancing” (in addition to excellent hygiene) is key to reducing the likelihood of being exposed to COVID-19 and spreading it.",0
2020-03-13 23:44:13+00:00,"Birmingham, AL","Heart Disease, Lung Disease, Diabetes, and Hypertension sufferers are the largest at-risk population for COVID-19
#coronavirus 
#RonaDemic",0
2020-03-13 23:15:36+00:00,"Birmingham, AL","Alabama closes all K-12 schools, first COVID-19 case confirmed in Jefferson County https://t.co/sFv6rI3Vve",1
2020-03-13 22:13:45+00:00,"Birmingham, AL","According to Alabama State Medical Officer Dr. Scott Harris, a second coronavirus case has been confirmed in Jefferson County. Person had come back after overseas travel and tested positive for COVID-19.",2
2020-03-13 21:42:23+00:00,"2121 3rd Ave N, Birmingham, AL",Bishop Baker of @bhmcatholic this afternoon granted a dispensation from Sunday Mass attendance to CERTAIN CATEGORIES OF PEOPLE in view of the COVID-19 crisis. Please read this letter! #coronavirus #bhmcatholic https://t.co/NawTQHMBMc,0
2020-03-13 21:37:13+00:00,"Birmingham, AL",A new twist to COVID-19. Blood shortages are becoming a problem bc of cancellations of blood drives due to concern for large gatherings. Please consider donating soon at your local Red Cross @RedCross @RedCrossAL,59
2020-03-13 20:45:25+00:00,"Birmingham, AL","Well after a couple hours in line for covid 19 testing, we’re hanging in the ER where we think our buddy is dealing with pneumonia. What a trooper this buddy is. https://t.co/63PoId02a7",1
2020-03-13 19:54:12+00:00,"Birmingham, AL",Good to see national competitors working together to confront the #coronavirus #COVID19,0
2020-03-13 19:42:55+00:00,,"Sonic is taking the coronavirus very seriously 

#sonic #coronavirus #COVID19 #carhop #drivethroughtesting https://t.co/FZozh1W2zW",0
2020-03-13 19:32:28+00:00,"Birmingham, AL","Since coronavirus canceled or postponed all sports, what sports MOVIES would you watch on your favorite sports channels? #sports #coronavirus #Covid_19 https://t.co/hY9aixAsW3",2
2020-03-13 19:04:48+00:00,,"Perpetual Pearls:

Please check your email for an important #COVID19 update from South Eastern Regional Director, Mitzi Dease Paige, regarding upcoming South Eastern Region events and regular functions.

#AKA1908 #AKASouthEastern #Coronavirus @akasorority1908 @CDCgov https://t.co/xXF6mfC8DY",9
2020-03-13 16:56:32+00:00,"Birmingham, AL ","“Based on the confirmed case of COVID-19 in Montgomery County and the potential of more cases locally, we are canceling the MARC meeting for tomorrow morning.  This is out of an overabundance of caution and for the safety and health of our members.”
@steveammons, MARC President",2
2020-03-13 15:43:27+00:00,Alabama,"Whoever is playing Jumanji, PLEASE ROLL THE DICE! This Coronavirus is no joke! #jumanji #coronavirus #COVID19 #CoronavirusPandemic #CoronaOutbreak https://t.co/mKPNdbZi4X",0
2020-03-13 15:19:38+00:00,"Birmingham, Alabama",Who’da thunk that when Alabama finally started testing for #coronavirus we got our first confirmed case? Huh. Crazy. #Covid_19,3
